AAA;NTGA;Anaa Airport;Anaa, Tuamotus, French Polynesia
IAH;KIAH;George Bush Intercontinental Airport;Houston, Texas, United States
IAM;DAUZ;In Amenas Airport (Zarzaitine Airport);In Amenas, Algeria
IAN;PAIK;Bob Baker Memorial Airport;Kiana, Alaska, United States
IAO;RPNS;Sayak Airport (Siargao Airport);Del Carmen, Philippines
IAQ;OIBH;Bahregan Airport;Bahregan, Iran
IAR;UUDL;Tunoshna Airport;Yaroslavl, Yaroslavl Oblast, Russia
IAS;LRIA;Ia?i International Airport;Ia?i, Romania
IAU;;Iaura Airport;Iaura, Papua New Guinea
IBA;DNIB;Ibadan Airport;Ibadan, Nigeria
IBB;SEII;General Villamil Airport;Isabela Island, Galapagos Islands, Ecuador
IBE;SKIB;Perales Airport;Ibague, Colombia
IBI;;Iboki Airport;Iboki, Papua New Guinea
IBL;;Indigo Bay Lodge Airport;Bazaruto Island, Mozambique
IBO;;Ibo Island Airport;Ibo Island, Mozambique
IBP;SPBR;Iberia Airport;Iberia, Peru
IBR;RJAH;Ibaraki Airport;Omitama, Honshu, Japan
IBZ;LEIB;Ibiza Airport;Ibiza, Balearic Islands, Spain
ICA;SVIC;Icabaru Airport;Icabaru, Venezuela
ICC;SVIE;Andres Miguel Salazar Marcano Airport;Coche Island, Venezuela
ICI;NFCI;Cicia Airport;Cicia Island, Fiji
ICK;SMNI;Majoor Henry Fernandes Airport (Nieuw Nickerie Airport);Nieuw Nickerie, Suriname
ICL;KICL;Schenck Field;Clarinda, Iowa, United States
ICN;RKSI;Incheon International Airport;Seoul, South Korea
ICO;RPSG;Sicogon Airport;Sicogon, Philippines
ICS;;Cascade Airport (FAA: KU70);Cascade, Idaho, United States
ICT;KICT;Wichita Dwight D. Eisenhower National Airport;Wichita, Kansas, United States
ICY;;Icy Bay Airport (FAA: 19AK);Icy Bay, Alaska, United States
IDA;KIDA;Idaho Falls Regional Airport;Idaho Falls, Idaho, United States
IDB;ESUE;Idre Airport;Idre, Sweden
IDF;FZCB;Idiofa Airport;Idiofa, Democratic Republic of the Congo
IDG;KIDG;Ida Grove Municipal Airport;Ida Grove, Iowa, United States
IDH;KGIC;Idaho County Airport (FAA: GIC);Grangeville, Idaho, United States
IDI;KIDI;Indiana County-Jimmy Stewart Airport;Indiana, Pennsylvania, United States
IDK;YIDK;Indulkana Airport;Indulkana, South Australia, Australia
IDN;;Indagen Airport;Indagen, Papua New Guinea
IDO;SWIY;Santa Isabel do Morro Airport;Santa Isabel do Morro, Tocantins, Brazil
IDP;KIDP;Independence Municipal Airport;Independence, Kansas, United States
IDR;VAID;Devi Ahilyabai Holkar International Airport;Indore, Madhya Pradesh, India
IDY;LFEY;Ile d'Yeu Aerodrome;Ile d'Yeu, Pays de la Loire, France
IEG;EPZG;Zielona Gora Airport;Zielona Gora, Poland
IEJ;RORE;Iejima Airport;Iejima, Okinawa, Japan
IES;EDAU;Riesa-Gohlis Airfield;Riesa, Saxony, Germany
IEV;UKKK;Kyiv International Airport (Zhuliany);Kiev, Ukraine
IFA;KIFA;Iowa Falls Municipal Airport;Iowa Falls, Iowa, United States
IFF;YIFY;Iffley Airport;Iffley, Queensland, Australia
IFH;OIFE;Hesa Air Base;Shahin Shahr, Iran
IFJ;BIIS;isafjoraur Airport;isafjoraur, Iceland
IFL;YIFL;Innisfail Airport;Innisfail, Queensland, Australia
IFN;OIFM;Isfahan International Airport (Shahid Beheshti Int'l);Isfahan, Iran
IFO;UKLI;Ivano-Frankivsk International Airport;Ivano-Frankivsk, Ukraine
IFP;KIFP;Laughlin/Bullhead International Airport;Bullhead City, Arizona, United States
IFU;VREI;Ifuru Airport;Ifuru, Raa Atoll, Maldives
IGA;MYIG;Inagua Airport (Matthew Town Airport);Great Inagua Island, Bahamas
IGB;SAVJ;Ingeniero Jacobacci Airport (Capitan FAA H. R. Borden Airport);Ingeniero Jacobacci, Rio Negro, Argentina
IGD;LTCT;I?d?r Airport;I?d?r, Turkey
IGE;FOOI;Tchongorove Airport;Iguela, Gabon
IGG;PAIG;Igiugig Airport;Igiugig, Alaska, United States
IGH;YIGM;Ingham Airport;Ingham, Queensland, Australia
IGL;LTBL;ci?li Air Base;?zmir, Turkey
IGM;KIGM;Kingman Airport;Kingman, Arizona, United States
IGN;RPMI;Maria Cristina Airport (Iligan Airport);Iligan, Philippines
IGO;SKIG;Jaime Ortiz Betancur Airport;Chigorodo, Colombia
IGR;SARI;Cataratas del Iguazu International Airport;Puerto Iguazu, Misiones, Argentina
IGS;ETSI;Ingolstadt Manching Airport;Ingolstadt, Bavaria, Germany
IGT;URMS;Magas Airport (Sleptsovskaya Airport);Nazran, Ingushetia, Russia
IGU;SBFI;Foz do Iguacu International Airport;Foz do Iguacu, Parana, Brazil
IHC;FQIA;Inhaca Airport;Inhaca Island, Mozambique
IHN;OYQN;Qishn Airport;Qishn, Yemen
IHO;FMSI;Ihosy Airport;Ihosy, Madagascar
IHR;OIZI;Iranshahr Airport;Iranshahr, Iran
IHU;;Ihu Airport;Ihu, Papua New Guinea
IIA;EIMN;Inishmaan Aerodrome;Inishmaan, Ireland
IIL;OICI;Ilam Airport;Ilam, Iran
IIS;AYIA;Nissan Island Airport;Nissan Island, Papua New Guinea
IJK;USII;Izhevsk Airport;Izhevsk, Udmurtia, Russia
IJU;SSIJ;Joao Batista Bos Filho Airport;Ijui, Rio Grande do Sul, Brazil
IJX;KIJX;Jacksonville Municipal Airport;Jacksonville, Illinois, United States
IKA;OIIE;Tehran Imam Khomeini International Airport;Tehran, Iran
IKB;KUKF;Wilkes County Airport (FAA: UKF);North Wilkesboro, North Carolina, United States
IKI;RJDB;Iki Airport;Iki, Iki Island, Japan
IKK;KIKK;Greater Kankakee Airport;Kankakee, Illinois, United States
IKL;FZGV;Ikela Airport;Ikela, Democratic Republic of the Congo
IKO;PAKO;Nikolski Air Station;Nikolski, Alaska, United States
IKP;YIKM;Inkerman Airport;Inkerman, Queensland, Australia
IKS;UEST;Tiksi Airport;Tiksi, Yakutia, Russia
IKT;UIII;International Airport Irkutsk;Irkutsk, Irkutsk Oblast, Russia
ILA;WABL;Illaga Airport;Illaga, Indonesia
ILD;LEDA;Lleida-Alguaire Airport;Lleida, Catalonia, Spain
ILE;KILE;Skylark Field;Killeen, Texas, United States
ILF;CZBD;Ilford Airport;Ilford, Manitoba, Canada
ILG;KILG;Wilmington Airport (New Castle Airport);Wilmington, Delaware, United States
ILH;ETIK;Illesheim Army Airfield;Illesheim, Bavaria, Germany
ILI;PAIL;Iliamna Airport;Iliamna, Alaska, United States
ILK;FMMQ;Ilaka-Est Airport (Atsinanana Airport);Ilaka, Madagascar
ILL;KBDH;Willmar Municipal Airport (John L. Rice Field);Willmar, Minnesota, United States
ILM;KILM;Wilmington International Airport;Wilmington, North Carolina, United States
ILN;KILN;Wilmington Air Park;Wilmington, Ohio, United States
ILO;RPVI;Iloilo International Airport;Iloilo, Philippines
ILP;NWWE;Ile des Pins Airport;Ile des Pins, New Caledonia
ILQ;SPLO;Ilo Airport;Ilo, Peru
ILR;DNIL;Ilorin International Airport;Ilorin, Nigeria
ILU;HKKL;Kilaguni Airport;Kilaguni, Kenya
ILX;;Ileg Airport;Ileg, Papua New Guinea
ILY;EGPI;Islay Airport (Glenegedale Airport);Islay, Scotland, United Kingdom
ILZ;LZZI;Zilina Airport;Zilina, Slovakia
IMA;;Iamalele Airport;Iamalele, Papua New Guinea
IMB;SYIB;Imbaimadai Airport;Imbaimadai, Guyana
IMD;;Imonda Airport;Imonda, Papua New Guinea
IMF;VEIM;Imphal International Airport (Tulihal Airport);Imphal, Manipur, India
IMG;;Inhaminga Airport;Inhaminga, Mozambique
IMI;;Ine Airport (FAA: N20);Ine, Arno Atoll, Marshall Islands
IMK;VNST;Simikot Airport;Simikot, Nepal
IML;KIML;Imperial Municipal Airport;Imperial, Nebraska, United States
IMM;KIMM;Immokalee Regional Airport;Immokalee, Florida, United States
IMN;AYII;Imane Airport;Imane, Papua New Guinea
IMO;FEFZ;Zemio Airport;Zemio, Central African Republic
IMP;SBIZ;Imperatriz Airport (Prefeito Renato Moreira Airport);Imperatriz, Maranhao, Brazil
IMT;KIMT;Ford Airport;Iron Mountain / Kingsford, Michigan, United States
INA;UUYI;Inta Airport;Inta, Komi Republic, Russia
INB;;Independence Airport;Independence, Belize
INC;ZLIC;Yinchuan Hedong International Airport;Yinchuan, Ningxia, China
IND;KIND;Indianapolis International Airport;Indianapolis, Indiana, United States
INE;;Chinde Airport;Chinde, Mozambique
INF;DATG;In Guezzam Airport;In Guezzam, Algeria
INH;FQIN;Inhambane Airport;Inhambane, Mozambique
INI;LYNI;Nis Constantine the Great Airport;Nis, Serbia
INJ;YINJ;Injune Airport;Injune, Queensland, Australia
INK;KINK;Winkler County Airport;Wink, Texas, United States
INL;KINL;Falls International Airport;International Falls, Minnesota, United States
INM;YINN;Innamincka Airport;Innamincka, South Australia, Australia
INN;LOWI;Innsbruck Airport (Kranebitten Airport);Innsbruck, Austria
INO;FZBA;Inongo Airport;Inongo, Democratic Republic of the Congo
INQ;EIIR;Inisheer Aerodrome;Inisheer, Ireland
INS;KINS;Creech Air Force Base;Indian Springs, Nevada, United States
INT;KINT;Smith Reynolds Airport;Winston-Salem, North Carolina, United States
INU;ANYN;Nauru International Airport;Yaren, Nauru
INV;EGPE;Inverness Airport;Inverness, Scotland, United Kingdom
INW;KINW;Winslow-Lindbergh Regional Airport;Winslow, Arizona, United States
INX;WASI;Inanwatan Airport;Inanwatan, Indonesia
INY;;Inyati Airport;Inyati, South Africa
INZ;DAUI;In Salah Airport;In Salah, Algeria
IOA;LGIO;Ioannina National Airport;Ioannina, Greece
IOK;;Iokea Airport;Iokea, Papua New Guinea
IOM;EGNS;Isle of Man Airport (Ronaldsway Airport);Isle of Man, United Kingdom
ION;FCOI;Impfondo Airport;Impfondo, Republic of the Congo
IOP;;Ioma Airport;Ioma, Papua New Guinea
IOR;EIIM;Inishmore Aerodrome (Kilronan Airport);Inishmore, Ireland
IOS;SBIL;Ilheus Jorge Amado Airport;Ilheus, Bahia, Brazil
IOW;KIOW;Iowa City Municipal Airport;Iowa City, Iowa, United States
IPA;NVVI;Ipota Airport;Erromango, Tafea, Vanuatu
IPC;SCIP;Mataveri International Airport (Isla de Pascua Airport);Easter Island, Chile
IPE;RPMV;Ipil Airport;Ipil, Philippines
IPG;SWII;Ipiranga Airport;Santo Antonio do Ica, Amazonas, Brazil
IPH;WMKI;Sultan Azlan Shah Airport;Ipoh, Perak, Malaysia
IPI;SKIP;San Luis Airport;Ipiales, Colombia
IPL;KIPL;Imperial County Airport (Boley Field);Imperial / El Centro, California, United States
IPN;SBIP;Usiminas Airport;Ipatinga, Minas Gerais, Brazil
IPT;KIPT;Williamsport Regional Airport;Williamsport, Pennsylvania, United States
IPU;SNIU;Ipiau Airport;Ipiau, Bahia, Brazil
IQA;ORAA;Al Asad Airbase;Anbar Province, Iraq
IQM;ZWCM;Qiemo Airport;Qiemo, Xinjiang, China
IQN;ZLQY;Qingyang Airport;Qingyang, Gansu, China
IQQ;SCDA;Diego Aracena International Airport;Iquique, Chile
IQT;SPQT;Coronel FAP Francisco Secada Vignetta International Airport;Iquitos, Peru
IRA;AGGK;Kirakira Airport (Ngorangora Airstrip);Kirakira, Makira Island, Solomon Islands
IRB;;Iraan Municipal Airport (FAA: 2F0);Iraan, Texas, United States
IRC;PACR;Circle City Airport (FAA: CRC);Circle, Alaska, United States
IRD;VGIS;Ishwardi Airport;Ishwardi, Bangladesh
IRE;SNIC;Irece Airport;Irece, Bahia, Brazil
IRG;YLHR;Lockhart River Airport;Lockhart River, Queensland, Australia
IRI;HTIR;Iringa Airport (Nduli Airport);Iringa, Tanzania
IRJ;SANL;Capitan Vicente Almandos Almonacid Airport;La Rioja, La Rioja, Argentina
IRK;KIRK;Kirksville Regional Airport;Kirksville, Missouri, United States
IRM;USHI;Igrim Airport;Igrim, Khanty-Mansi Autonomous Okrug, Russia
IRN;MHIR;Iriona Airport;Iriona, Honduras
IRO;FEFI;Birao Airport;Birao, Central African Republic
IRP;FZJH;Matari Airport;Isiro, Democratic Republic of the Congo
IRS;KIRS;Kirsch Municipal Airport;Sturgis, Michigan, United States
IRU;;Iranamadu Waterdrome;Kilinochchi, Sri Lanka
IRZ;SWTP;Tapuruquara Airport;Santa Isabel do Rio Negro, Amazonas, Brazil
ISA;YBMA;Mount Isa Airport;Mount Isa, Queensland, Australia
ISB;OPRN;Benazir Bhutto International Airport;Islamabad / Rawalpindi, Pakistan
ISC;EGHE;St Mary's Airport;St Mary's, Isles of Scilly, United Kingdom
ISD;;Iscuande Airport;Iscuande, Colombia
ISE;LTFC;Isparta Suleyman Demirel Airport;Isparta, Turkey
ISG;ROIG;New Ishigaki Airport;Ishigaki, Yaeyama Islands, Japan
ISI;YISF;Isisford Airport;Isisford, Queensland, Australia
ISJ;MMIM;Isla Mujeres Airport;Isla Mujeres, Quintana Roo, Mexico
ISK;VAOZ;Ozar Airport;Nashik, Maharashtra, India
ISM;KISM;Kissimmee Gateway Airport;Orlando, Florida, United States
ISN;KISN;Sloulin Field International Airport;Williston, North Dakota, United States
ISO;KISO;Kinston Regional Jetport (Stallings Field);Kinston, North Carolina, United States
ISP;KISP;Long Island MacArthur Airport;Islip, New York, United States
ISQ;KISQ;Schoolcraft County Airport;Manistique, Michigan, United States
ISS;KIWI;Wiscasset Airport (FAA: IWI);Wiscasset, Maine, United States
IST;LTBA;Istanbul Ataturk Airport;Istanbul, Turkey
ISU;ORSU;Sulaimaniyah International Airport;Sulaymaniyah, Iraq
ISW;KISW;South Wood County Airport (Alexander Field);Wisconsin Rapids, Wisconsin, United States
ITA;SBIC;Itacoatiara Airport;Itacoatiara, Amazonas, Brazil
ITB;SBIH;Itaituba Airport;Itaituba, Para, Brazil
ITE;SNZW;Itubera Airport;Itubera, Bahia, Brazil
ITH;KITH;Ithaca Tompkins Regional Airport;Ithaca, New York, United States
ITI;;Itambacuri Airport;Itambacuri, Minas Gerais, Brazil
ITK;;Itokama Airport;Itokama, Papua New Guinea
ITM;RJOO;Osaka International Airport (Itami Int'l);Osaka, Honshu, Japan
ITN;SNHA;Itabuna Airport;Itabuna, Bahia, Brazil
ITO;PHTO;Hilo International Airport;Hilo, Hawaii, United States
ITP;SDUN;Itaperuna Airport;Itaperuna, Rio de Janeiro, Brazil
ITQ;SSIQ;Itaqui Airport;Itaqui, Rio Grande do Sul, Brazil
ITR;SBIT;Itumbiara Airport;Itumbiara, Goias, Brazil
ITU;UHSI;Iturup Airport;Kurilsk, Sakhalin Oblast, Russia
IUE;NIUE;Niue International Airport (Hanan Int'l);Alofi, Niue
IUL;;Ilu Airport;Ilu, Indonesia
IUS;;Inus Airport;Inus, Papua New Guinea
IVA;FMNJ;Ambanja Airport;Ambanja, Madagascar
IVC;NZNV;Invercargill Airport;Invercargill, New Zealand
IVG;LYBR;Dolac Airport;Berane, Montenegro
IVI;;Viveros Island Airport;Viveros Island, Panama
IVL;EFIV;Ivalo Airport;Ivalo, Finland
IVO;;Chibolo Airport;Chibolo, Colombia
IVR;YIVL;Inverell Airport;Inverell, New South Wales, Australia
IVW;YINW;Inverway Airport;Inverway, Northern Territory, Australia
IWA;UUBI;Ivanovo Yuzhny Airport;Ivanovo, Ivanovo Oblast, Russia
IWD;KIWD;Gogebic-Iron County Airport;Ironwood, Michigan, United States
IWJ;RJOW;Iwami Airport (Hagi-Iwami Airport);Masuda, Honshu, Japan
IWK;RJOW;Marine Corps Air Station Iwakuni;Iwakuni, Honshu, Japan
IWO;RJAW;Iwo Jima Air Base;Iwo Jima, Bonin Islands, Japan
IWS;KIWS;West Houston Airport;Houston, Texas, United States
IXA;VEAT;Agartala Airport (Singerbhil Airport);Agartala, Tripura, India
IXB;VEBD;Bagdogra Airport;Siliguri, West Bengal, India
IXC;VICG;Chandigarh International Airport;Chandigarh, India
IXD;VIAL;Allahabad Airport (Bamrauli Air Force Base);Allahabad, Uttar Pradesh, India
IXE;VOML;Mangalore Airport;Mangalore, Karnataka, India
IXG;VABM;Belgaum Airport;Belgaum, Karnataka, India
IXH;VEKR;Kailashahar Airport;Kailashahar, Tripura, India
IXI;VELR;Lilabari Airport;North Lakhimpur, Assam, India
IXJ;VIJU;Jammu Airport (Satwari Airport);Jammu, Jammu and Kashmir, India
IXK;VAKS;Keshod Airport;Keshod, Gujarat, India
IXL;VILH;Kushok Bakula Rimpochee Airport;Leh, Jammu and Kashmir, India
IXM;VOMD;Madurai Airport;Madurai, Tamil Nadu, India
IXN;VEKW;Khowai Airport;Khowai, Tripura, India
IXP;VIPK;Pathankot Airport;Pathankot, Punjab, India
IXQ;VEKM;Kamalpur Airport;Kamalpur, Tripura, India
IXR;VERC;Birsa Munda Airport;Ranchi, Jharkhand, India
IXS;VEKU;Silchar Airport (Kumbhirgram Air Force Base);Silchar, Assam, India
IXT;VEPG;Pasighat Airport;Pasighat, Arunachal Pradesh, India
IXU;VAAU;Aurangabad Airport (Chikkalthana Airport);Aurangabad, Maharashtra, India
IXV;VEAN;Along Airport;Along (Aalo), Arunachal Pradesh, India
IXW;VEJS;Sonari Airport;Jamshedpur, Jharkhand, India
IXY;VAKE;Kandla Airport (Gandhidham Airport);Kandla / Gandhidham, Gujarat, India
IXZ;VOPB;Veer Savarkar International Airport (Port Blair Airport);Port Blair, Andaman and Nicobar Islands, India
IYK;KIYK;Inyokern Airport;Inyokern, California, United States
IZA;SBZM;Presidente Itamar Franco Airport (Zona da Mata Regional Airport);Juiz de Fora, Minas Gerais, Brazil
IZO;RJOC;Izumo Airport;Izumo, Honshu, Japan
IZT;MMIT;Ixtepec Airport;Ixtepec, Oaxaca, Mexico
JAA;OAJL;Jalalabad Airport;Jalalabad, Afghanistan
JAB;YJAB;Jabiru Airport;Jabiru, Northern Territory, Australia
JAC;KJAC;Jackson Hole Airport;Jackson, Wyoming, United States
JAD;YPJT;Jandakot Airport;Perth, Western Australia, Australia
JAF;VCCJ;Jaffna Airport;Jaffna, Sri Lanka
JAG;OPJA;PAF Base Shahbaz;Jacobabad, Pakistan
JAI;VIJP;Jaipur International Airport;Jaipur, Rajasthan, India
JAK;MTJA;Jacmel Airport;Jacmel, Haiti
JAL;MMJA;El Lencero Airport;Xalapa (Jalapa), Veracruz, Mexico
JAM;;Bezmer Air Base;Yambol, Bulgaria
JAN;KJAN;Jackson-Evers International Airport;Jackson, Mississippi, United States
JAP;MRCH;Chacarita Airport;Puntarenas, Costa Rica
JAQ;;Jacquinot Bay Airport;Jacquinot Bay, Papua New Guinea
JAR;OISJ;Jahrom Airport;Jahrom, Iran
JAS;KJAS;Jasper County Airport (Bell Field);Jasper, Texas, United States
JAT;;Jabot Airport;Jabat Island, Marshall Islands
JAU;SPJJ;Francisco Carle Airport;Jauja, Peru
JAV;BGJN;Ilulissat Airport;Ilulissat, Greenland
JAX;KJAX;Jacksonville International Airport;Jacksonville, Florida, United States
JBB;;Notohadinegoro Airport;Jember, Indonesia
JBQ;MDJB;La Isabela International Airport (Dr. Joaquin Balaguer Int'l);La Isabela, Dominican Republic
JBR;KJBR;Jonesboro Municipal Airport;Jonesboro, Arkansas, United States
JBT;;Bethel Seaplane Base (FAA: Z59);Bethel, Alaska, United States
JCB;SSJA;Santa Terezinha Municipal Airport;Joacaba, Santa Catarina, Brazil
JCH;BGCH;Qasigiannguit Heliport;Qasigiannguit, Greenland
JCI;KIXD;New Century AirCenter (FAA: IXD);Olathe, Kansas, United States
JCK;YJLC;Julia Creek Airport;Julia Creek, Queensland, Australia
JCM;SNJB;Jacobina Airport;Jacobina, Bahia, Brazil
JCR;SBEK;Jacareacanga Airport;Jacareacanga, Para, Brazil
JCT;KJCT;Kimble County Airport;Junction, Texas, United States
JCY;;LBJ Ranch Airport (FAA: 0TE7);Johnson City, Texas, United States
JDA;KGCD;Grant County Regional Airport (Ogilvie Field) (FAA: GCD);John Day, Oregon, United States
JDF;SBJF;Francisco alvares de Assis Airport;Juiz de Fora, Minas Gerais, Brazil
JDG;RKPD;Jeongseok Airport;Seogwipo, South Korea
JDH;VIJO;Jodhpur Airport;Jodhpur, Rajasthan, India
JDN;KJDN;Jordan Airport;Jordan, Montana, United States
JDO;SBJU;Juazeiro do Norte Airport;Juazeiro do Norte, Ceara, Brazil
JDR;SNJR;Prefeito Octavio de Almeida Neves Airport;Sao Joao del Rei, Minas Gerais, Brazil
JDZ;ZSJD;Jingdezhen Luojia Airport;Jingdezhen, Jiangxi, China
JED;OEJN;King Abdulaziz International Airport;Jeddah, Saudi Arabia
JEE;MTJE;Jeremie Airport;Jeremie, Haiti
JEF;KJEF;Jefferson City Memorial Airport;Jefferson City, Missouri, United States
JEG;BGAA;Aasiaat Airport;Aasiaat, Greenland
JEJ;;Jeh Airport;Jeh Island, Ailinglaplap Atoll, Marshall Islands
JEK;;Jeki Airstrip;Jeki, Zambia
JEQ;SNJK;Jequie Airport;Jequie, Bahia, Brazil
JER;EGJJ;Jersey Airport;Jersey, Channel Islands, United Kingdom
JFK;KJFK;John F. Kennedy International Airport;New York City, New York, United States
JFN;KHZY;Northeast Ohio Regional Airport (FAA: HZY);Ashtabula, Ohio, United States
JFR;BGPT;Paamiut Airport;Paamiut, Greenland
JGA;VAJM;Jamnagar Airport (Govardhanpur Airport);Jamnagar, Gujarat, India
JGB;;Jagdalpur Airport;Jagdalpur, Chhattisgarh, India
JGD;ZYJD;Jiagedaqi Airport;Jiagedaqi, Heilongjiang, China
JGN;ZLJQ;Jiayuguan Airport;Jiayuguan, Gansu, China
JGS;ZSJA;Jinggangshan Airport;Ji'an, Jiangxi, China
JHB;WMKJ;Senai International Airport;Johor Bahru, Johor, Malaysia
JHG;ZPJH;Xishuangbanna Gasa Airport;Jinghong, Yunnan, China
JHL;;Fort MacKay/Albian Aerodrome (TC: CAL4);Fort MacKay, Alberta, Canada
JHM;PHJH;Kapalua Airport;Kapalua, Hawaii, United States
JHS;BGSS;Sisimiut Airport;Sisimiut, Greenland
JHW;KJHW;Chautauqua County-Jamestown Airport;Jamestown, New York, United States
JIA;SWJN;Juina Airport;Juina, Mato Grosso, Brazil
JIB;HDAM;Djibouti-Ambouli International Airport;Djibouti, Djibouti
JIC;ZLJC;Jinchang Jinchuan Airport;Jinchang, Gansu, China
JIJ;HAJJ;Wilwal International Airport;Jijiga, Ethiopia
JIK;LGIK;Ikaria Island National Airport;Ikaria Island, Greece
JIL;ZYJL;Jilin Ertaizi Airport;Jilin City, Jilin, China
JIM;HAJM;Aba Segud Airport;Jimma, Ethiopia
JIN;HUJI;Jinja Airport;Jinja, Uganda
JIP;SEJI;Jipijapa Airport;Jipijapa, Ecuador
JIQ;ZUQJ;Qianjiang Wulingshan Airport;Qianjiang, Chongqing, China
JIR;VNJI;Jiri Airport;Jiri, Nepal
JIU;ZSJJ;Jiujiang Lushan Airport;Jiujiang, Jiangxi, China
JIW;OPJI;Jiwani Airport;Jiwani, Pakistan
JJA;AGJO;Jajao Airport;Jajao, Isabel Province, Solomon Islands
JJG;SBJA;Humberto Ghizzo Bortoluzzi Regional Airport;Jaguaruna, Santa Catarina, Brazil
JJI;SPJI;Juanjui Airport;Juanjui, Peru
JJM;HKMK;Mulika Lodge Airport;Meru National Park, Kenya
JJN;ZSQZ;Quanzhou Jinjiang International Airport;Quanzhou, Fujian, China
JKG;ESGJ;Jonkoping Airport;Jonkoping, Sweden
JKH;LGHI;Chios Island National Airport;Chios, Greece
JKL;LGKY;Kalymnos Island National Airport;Kalymnos, Greece
JKR;VNJP;Janakpur Airport;Janakpur, Nepal
JKV;KJSO;Cherokee County Airport (FAA: JSO);Jacksonville, Texas, United States
JLA;;Quartz Creek Airport;Cooper Landing, Alaska, United States
JLN;KJLN;Joplin Regional Airport;Joplin, Missouri, United States
JLR;VAJB;Jabalpur Airport (Dumna Airport);Jabalpur, Madhya Pradesh, India
JLS;SDJL;Jales Airport;Jales, Sao Paulo, Brazil
JMB;;Jamba Airport;Jamba, Angola
JMK;LGMK;Mykonos Island National Airport;Mykonos, Greece
JMO;VNJS;Jomsom Airport;Jomsom, Nepal
JMS;KJMS;Jamestown Regional Airport;Jamestown, North Dakota, United States
JMU;ZYJM;Jiamusi Dongjiao Airport;Jiamusi, Heilongjiang, China
JNA;SNJN;Januaria Airport;Januaria, Minas Gerais, Brazil
JNB;FAOR;O. R. Tambo International Airport;Johannesburg, South Africa
JNG;ZLJN;Jining Qufu Airport;Jining, Shandong, China
JNI;SAAJ;Junin Airport;Junin, Buenos Aires, Argentina
JNJ;;Duqm Jaaluni Airport;Duqm, Oman
JNU;PAJN;Juneau International Airport;Juneau, Alaska, United States
JNX;LGNX;Naxos Island National Airport;Naxos, Greece
JNZ;ZYJZ;Jinzhou Bay Airport;Jinzhou, Liaoning, China
JOE;EFJO;Joensuu Airport;Joensuu, Finland
JOG;WIIJ;Adisucipto International Airport;Yogyakarta, Indonesia
JOH;FAPJ;Port St. Johns Airport;Port St. Johns, South Africa
JOI;SBJV;Joinville-Lauro Carneiro de Loyola Airport;Joinville, Santa Catarina, Brazil
JOJ;;Doris Lake Aerodrome (TC: CDL7);Doris Lake, Nunavut, Canada
JOK;UWKJ;Yoshkar-Ola Airport;Yoshkar-Ola, Mari El, Russia
JOL;RPMJ;Jolo Airport;Jolo, Philippines
JOM;HTNJ;Njombe Airport;Njombe, Tanzania
JOP;;Josephstaal Airport;Josephstaal, Papua New Guinea
JOS;DNJO;Yakubu Gowon Airport;Jos, Nigeria
JOT;KJOT;Joliet Regional Airport;Joliet, Illinois, United States
JPA;SBJP;Presidente Castro Pinto International Airport;Joao Pessoa, Paraiba, Brazil
JPR;SWJI;Jose Coleto Airport;Ji-Parana, Rondonia, Brazil
JQA;BGUQ;Qaarsut Airport (Uummannaq/Qaarsut Airport);Qaarsut, Greenland
JQE;MPJE;Jaque Airport;Jaque, Panama
JRF;PHJR;Kalaeloa Airport (John Rodgers Field);Kapalua, Hawaii, United States
JRH;VEJT;Jorhat Airport (Rowriah Airport);Jorhat, Assam, India
JRN;SWJU;Juruena Airport;Juruena, Mato Grosso, Brazil
JRO;HTKJ;Kilimanjaro International Airport;Kilimanjaro, Tanzania
JRS;OJJR;Atarot Airport (Jerusalem International Airport);Jerusalem, Israel1
JSA;VIJR;Jaisalmer Airport;Jaisalmer, Rajasthan, India
JSH;LGST;Sitia Public Airport;Sitia, Greece
JSI;LGSK;Skiathos Island National Airport;Skiathos, Greece
JSM;SAWS;Jose de San Martin Airport;Jose de San Martin, Chubut, Argentina
JSR;VGJR;Jessore Airport;Jessore, Bangladesh
JST;KJST;John Murtha Johnstown-Cambria County Airport;Johnstown, Pennsylvania, United States
JSU;BGMQ;Maniitsoq Airport;Maniitsoq, Greenland
JSY;LGSO;Syros Island National Airport;Syros, Greece
JTC;SBAE;Moussa Nakhl Tobias-Bauru/Arealva State Airport;Bauru, Sao Paulo, Brazil
JTI;SWJW;Jatai Airport;Jatai, Goias, Brazil
JTR;LGSR;Santorini (Thira) National Airport;Santorini (Thira), Greece
JTY;LGPL;Astypalaia Island National Airport;Astypalaia, Greece
JUA;SIZX;Inacio Luis do Nascimento Airport;Juara, Mato Grosso, Brazil
JUB;HSSJ;Juba International Airport;Juba, South Sudan
JUH;;Chizhou Jiuhuashan Airport;Chizhou / Tongling, Anhui, China
JUI;EDWJ;Juist Airport;Juist, Lower Saxony, Germany
JUJ;SASJ;Gobernador Horacio Guzman International Airport;San Salvador de Jujuy, Jujuy, Argentina
JUL;SPJL;Inca Manco Capac International Airport;Juliaca, Peru
JUM;VNJL;Jumla Airport;Jumla, Nepal
JUN;YJDA;Jundah Airport;Jundah, Queensland, Australia
JUO;SKJU;Jurado Airport;Jurado, Colombia
